JUNK i bandpass MEDIAN DIFF^2
MEDIAN 213 -10.851095 -10.846422 0.000022
MEDIAN 214 -10.851120 -10.846422 0.000022
MEDIAN 215 -10.848400 -10.849687 0.000002
MEDIAN 216 -10.830216 -10.851862 0.000469
MEDIAN 217 -10.879831 -10.851862 0.000782
MEDIAN 218 -10.843663 -10.850775 0.000051
MEDIAN 219 -10.842420 -10.850775 0.000070
MEDIAN 220 -10.863394 -10.850775 0.000159
MEDIAN 221 -10.841007 -10.848598 0.000058
MEDIAN 222 -10.839601 -10.848598 0.000081
MEDIAN 223 -10.842903 -10.849687 0.000046
MEDIAN 224 -10.827911 -10.849687 0.000474
MEDIAN 225 -10.860527 -10.849687 0.000118
MEDIAN 226 -10.826982 -10.849687 0.000515
MEDIAN 227 -10.851280 -10.850775 0.000000
MEDIAN 228 -10.859269 -10.850775 0.000072
MEDIAN 229 -10.862073 -10.850775 0.000128
MEDIAN 230 -10.845186 -10.851862 0.000045
MEDIAN 231 -10.406936 -10.851862 0.197959
MEDIAN 232 -10.832273 -10.850775 0.000342
MEDIAN 233 -10.847418 -10.850775 0.000011
MEDIAN 234 -10.848670 -10.850775 0.000004
MEDIAN 235 -10.853410 -10.851862 0.000002
MEDIAN 236 -10.829521 -10.852950 0.000549
MEDIAN 237 -10.850064 -10.852950 0.000008
MEDIAN 238 -10.869682 -10.852950 0.000280
MEDIAN 239 -10.867430 -10.852950 0.000210
MEDIAN 240 -10.842383 -10.850775 0.000070
MEDIAN 241 -10.858635 -10.850775 0.000062
MEDIAN 242 -10.855896 -10.850775 0.000026
MEDIAN 243 -10.835754 -10.850775 0.000226
MEDIAN 244 -10.843278 -10.850775 0.000056
MEDIAN 245 -10.842000 -10.850775 0.000077
MEDIAN 246 -10.845347 -10.850775 0.000029
MEDIAN 247 -10.857533 -10.850775 0.000046
MEDIAN 248 -10.853045 -10.850775 0.000005
MEDIAN 249 -10.863356 -10.850775 0.000158
MEDIAN 250 -10.843287 -10.850775 0.000056
MEDIAN 251 -10.843720 -10.850775 0.000050
MEDIAN 252 -10.838515 -10.850775 0.000150
MEDIAN 253 -10.880154 -10.850775 0.000863
MEDIAN 254 -10.832952 -10.850775 0.000318
MEDIAN 255 0.000000 -10.850775 117.739313
